external_source,external_id,query_used,city_used,name,type_name,address,latitude,longitude,source_location,website_url,phone,description,season_slugs,photo_urls,estimated_cost,estimated_duration,is_active,image_query_used,primary_image_local_path,primary_image_url,image_status,image_source,image_content_type,s3_key
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Бино, семейная сыроварня",cheese,"улица Профессора Рудакова, 19/3",45.15039,38.997447,Краснодарский край,,,"Бино, семейная сыроварня — это семейная сыроварня. Место находится по адресу улица Профессора Рудакова, 19/3, Краснодар. Для гостей это, как правило, удобная остановка, где можно познакомиться с локальными вкусами и продукцией небольших производителей. Локация особенно интересна тем, кто любит авторские продукты, небольшие производства и неформальную атмосферу. Для более комфортного визита разумно заранее узнать график работы и наличие дегустаций или свежих партий продукции, а если вы планируете маршрут заранее, Бино, семейная сыроварня можно рассмотреть как удобную и запоминающуюся остановку.",fall,,1940,1,TRUE,"Бино, семейная сыроварня Краснодар cheese","downloaded_place_images/cheese_Краснодар_Бино,_семейная_сыроварня.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Бино,_семейная_сыроварня.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Геленджике,Геленджик,"Дарьяна, сыроварня",cheese,"Крымская улица, 22 к1",44.549625,38.060564,Краснодарский край,,,"Дарьяна, сыроварня — это семейная сыроварня. Место находится по адресу Крымская улица, 22 к1, Геленджик. Здесь обычно ищут свежие сыры, локальные продукты и спокойную атмосферу без городской суеты. Сюда можно заехать во время поездки по краю, если хочется добавить в маршрут локальную гастрономию и небольшие покупки. Перед посещением стоит уточнить ассортимент и режим работы, потому что у небольших сыроварен он может меняться по сезону, а в рамках поездки Дарьяна, сыроварня может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,1583,1,TRUE,"Дарьяна, сыроварня Геленджик cheese","downloaded_place_images/cheese_Геленджик_Дарьяна,_сыроварня.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Геленджик_Дарьяна,_сыроварня.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Горячем Ключе,Горячий Ключ,"Едем&едим, магазин-сыроварня",cheese,"Федеральная трасса М4 Дон 1384 километр, 8/3",44.6492,39.146629,Краснодарский край,,,"Едем&едим, магазин-сыроварня — это место для знакомства с фермерскими сырами. Место находится по адресу Федеральная трасса М4 Дон 1384 километр, 8/3, Горячий Ключ. Для гостей это, как правило, удобная остановка, где можно познакомиться с локальными вкусами и продукцией небольших производителей. Сюда можно заехать во время поездки по краю, если хочется добавить в маршрут локальную гастрономию и небольшие покупки. Перед посещением стоит уточнить ассортимент и режим работы, потому что у небольших сыроварен он может меняться по сезону, а если вы планируете маршрут заранее, Едем&едим, магазин-сыроварня можно рассмотреть как удобную и запоминающуюся остановку.",fall,,2005,1,TRUE,"Едем&едим, магазин-сыроварня Горячий Ключ cheese","downloaded_place_images/cheese_Горячий_Ключ_Едем&едим,_магазин-сыроварня.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Горячий_Ключ_Едем&едим,_магазин-сыроварня.jpg",done,yandex_images_auto,image/avif,
2gis,7E+16,сыроварня в Анапе,Анапа,Сыроварня,cheese,"улица Ленина, 10/1",51.696676,39.223334,Краснодарский край,,,"Сыроварня — это место для знакомства с фермерскими сырами. Место находится по адресу улица Ленина, 10/1, Анапа. Для гостей это, как правило, удобная остановка, где можно познакомиться с локальными вкусами и продукцией небольших производителей. Локация особенно интересна тем, кто любит авторские продукты, небольшие производства и неформальную атмосферу. Для более комфортного визита разумно заранее узнать график работы и наличие дегустаций или свежих партий продукции, а в рамках поездки Сыроварня может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,1000,1,TRUE,Сыроварня Анапа cheese,downloaded_place_images/cheese_Анапа_Сыроварня.jpg,https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Анапа_Сыроварня.jpg,done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Новороссийске,Новороссийск,"Сыроварня Атриум, ресторан",cheese,"улица Земляной Вал, 33",55.756539,37.659053,Краснодарский край,,,"Сыроварня Атриум, ресторан — это семейная сыроварня. Место находится по адресу улица Земляной Вал, 33, Новороссийск. Для гостей это, как правило, удобная остановка, где можно познакомиться с локальными вкусами и продукцией небольших производителей. Локация особенно интересна тем, кто любит авторские продукты, небольшие производства и неформальную атмосферу. Для более комфортного визита разумно заранее узнать график работы и наличие дегустаций или свежих партий продукции, а для путешествия по этой части края Сыроварня Атриум, ресторан можно включить в маршрут как атмосферную и практичную остановку.",fall,,1019,1,TRUE,"Сыроварня Атриум, ресторан Новороссийск cheese","downloaded_place_images/cheese_Новороссийск_Сыроварня_Атриум,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Новороссийск_Сыроварня_Атриум,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Анапе,Анапа,"Сыроварня Депо, ресторан",cheese,"Лесная улица, 20 ст4",55.779573,37.591483,Краснодарский край,,,"Сыроварня Депо, ресторан — это семейная сыроварня. Место находится по адресу Лесная улица, 20 ст4, Анапа. Для гостей это, как правило, удобная остановка, где можно познакомиться с локальными вкусами и продукцией небольших производителей. Сюда можно заехать во время поездки по краю, если хочется добавить в маршрут локальную гастрономию и небольшие покупки. Перед посещением стоит уточнить ассортимент и режим работы, потому что у небольших сыроварен он может меняться по сезону, а для путешествия по этой части края Сыроварня Депо, ресторан можно включить в маршрут как атмосферную и практичную остановку.",fall,,2136,1,TRUE,"Сыроварня Депо, ресторан Анапа cheese","downloaded_place_images/cheese_Анапа_Сыроварня_Депо,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Анапа_Сыроварня_Депо,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Горячем Ключе,Горячий Ключ,Сыроварня Казаковых,cheese,"улица Свердлова, 21а",44.625423,39.101927,Краснодарский край,,,"Сыроварня Казаковых — это семейная сыроварня. Место находится по адресу улица Свердлова, 21а, Горячий Ключ. Здесь обычно ищут свежие сыры, локальные продукты и спокойную атмосферу без городской суеты. Сюда можно заехать во время поездки по краю, если хочется добавить в маршрут локальную гастрономию и небольшие покупки. Если планируете визит специально, лучше заранее проверить часы работы и наличие интересующих позиций, а для путешествия по этой части края Сыроварня Казаковых можно включить в маршрут как атмосферную и практичную остановку.",fall,,980,1,TRUE,Сыроварня Казаковых Горячий Ключ cheese,downloaded_place_images/cheese_Горячий_Ключ_Сыроварня_Казаковых.jpg,https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Горячий_Ключ_Сыроварня_Казаковых.jpg,done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Новороссийске,Новороссийск,"Сыроварня Метрополис, ресторан",cheese,"Ленинградское шоссе, 16а ст4",55.82363,37.497257,Краснодарский край,,,"Сыроварня Метрополис, ресторан — это семейная сыроварня. Место находится по адресу Ленинградское шоссе, 16а ст4, Новороссийск. Такие локации чаще всего выбирают ради ремесленных сыров, фермерских деликатесов и возможности купить что-то с собой. Место подойдет и для короткого заезда по пути, и для неспешного гастрономического визита в выходной день. Для более комфортного визита разумно заранее узнать график работы и наличие дегустаций или свежих партий продукции, а в рамках поездки Сыроварня Метрополис, ресторан может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,1574,1,TRUE,"Сыроварня Метрополис, ресторан Новороссийск cheese","downloaded_place_images/cheese_Новороссийск_Сыроварня_Метрополис,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Новороссийск_Сыроварня_Метрополис,_ресторан.jpg",done,yandex_images_auto,image/avif,
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Сыроварня, деревенский ресторан",cheese,"улица Труда, 181",55.16812,61.377209,Краснодарский край,,,"Сыроварня, деревенский ресторан — это семейная сыроварня. Место находится по адресу улица Труда, 181, Краснодар. Для гостей это, как правило, удобная остановка, где можно познакомиться с локальными вкусами и продукцией небольших производителей. Локация особенно интересна тем, кто любит авторские продукты, небольшие производства и неформальную атмосферу. Перед посещением стоит уточнить ассортимент и режим работы, потому что у небольших сыроварен он может меняться по сезону, а в рамках поездки Сыроварня, деревенский ресторан может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,1482,1,TRUE,"Сыроварня, деревенский ресторан Краснодар cheese","downloaded_place_images/cheese_Краснодар_Сыроварня,_деревенский_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Сыроварня,_деревенский_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Анапе,Анапа,"Сыроварня, деревенский ресторан",cheese,"улица Комсомольская, 3",48.707617,44.522017,Краснодарский край,,,"Сыроварня, деревенский ресторан — это место для знакомства с фермерскими сырами. Место находится по адресу улица Комсомольская, 3, Анапа. Для гостей это, как правило, удобная остановка, где можно познакомиться с локальными вкусами и продукцией небольших производителей. Локация особенно интересна тем, кто любит авторские продукты, небольшие производства и неформальную атмосферу. Если планируете визит специально, лучше заранее проверить часы работы и наличие интересующих позиций, а для путешествия по этой части края Сыроварня, деревенский ресторан можно включить в маршрут как атмосферную и практичную остановку.",fall,,978,1,TRUE,"Сыроварня, деревенский ресторан Анапа cheese","downloaded_place_images/cheese_Анапа_Сыроварня,_деревенский_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Анапа_Сыроварня,_деревенский_ресторан.jpg",done,yandex_images_auto,image/avif,
