date,time,city,weekday,temp,weather_code,is_bad_for_outdoor
2026-03-23,09,Абрау-Дюрсо,понедельник,12,облачно,false
2026-03-23,09,Новороссийск,понедельник,16,облачно,false
2026-03-23,09,Мысхако,понедельник,16,облачно,false
2026-03-23,09,Южная Озереевка,понедельник,12,облачно,false
2026-03-23,09,Широкая Балка,понедельник,12,облачно,false
2026-03-23,09,Федотовка,понедельник,12,облачно,false
2026-03-23,21,Абрау-Дюрсо,понедельник,7,дождь,true
2026-03-23,21,Новороссийск,понедельник,9,дождь,true
2026-03-23,21,Мысхако,понедельник,9,дождь,true
2026-03-23,21,Южная Озереевка,понедельник,7,дождь,true
2026-03-23,21,Широкая Балка,понедельник,7,дождь,true
2026-03-23,21,Федотовка,понедельник,7,дождь,true
2026-03-24,09,Абрау-Дюрсо,вторник,9,дождь,true
2026-03-24,09,Новороссийск,вторник,13,дождь,true
2026-03-24,09,Мысхако,вторник,13,дождь,true
2026-03-24,09,Южная Озереевка,вторник,9,дождь,true
2026-03-24,09,Широкая Балка,вторник,9,дождь,true
2026-03-24,09,Федотовка,вторник,9,дождь,true
2026-03-24,21,Абрау-Дюрсо,вторник,7,облачно,true
2026-03-24,21,Новороссийск,вторник,9,ясно,true
2026-03-24,21,Мысхако,вторник,9,ясно,true
2026-03-24,21,Южная Озереевка,вторник,7,облачно,true
2026-03-24,21,Широкая Балка,вторник,7,облачно,true
2026-03-24,21,Федотовка,вторник,7,облачно,true
2026-03-25,09,Абрау-Дюрсо,среда,12,облачно,false
2026-03-25,09,Новороссийск,среда,17,облачно,false
2026-03-25,09,Мысхако,среда,17,облачно,false
2026-03-25,09,Южная Озереевка,среда,12,облачно,false
2026-03-25,09,Широкая Балка,среда,12,облачно,false
2026-03-25,09,Федотовка,среда,12,облачно,false
2026-03-25,21,Абрау-Дюрсо,среда,8,облачно,true
2026-03-25,21,Новороссийск,среда,9,облачно,true
2026-03-25,21,Мысхако,среда,9,облачно,true
2026-03-25,21,Южная Озереевка,среда,8,облачно,true
2026-03-25,21,Широкая Балка,среда,8,облачно,true
2026-03-25,21,Федотовка,среда,8,облачно,true
2026-03-26,09,Абрау-Дюрсо,четверг,13,дождь,true
2026-03-26,09,Новороссийск,четверг,15,ливень,true
2026-03-26,09,Мысхако,четверг,15,ливень,true
2026-03-26,09,Южная Озереевка,четверг,13,дождь,true
2026-03-26,09,Широкая Балка,четверг,13,дождь,true
2026-03-26,09,Федотовка,четверг,13,дождь,true
2026-03-26,21,Абрау-Дюрсо,четверг,8,ливень,true
2026-03-26,21,Новороссийск,четверг,9,дождь,true
2026-03-26,21,Мысхако,четверг,9,дождь,true
2026-03-26,21,Южная Озереевка,четверг,8,ливень,true
2026-03-26,21,Широкая Балка,четверг,8,ливень,true
2026-03-26,21,Федотовка,четверг,8,ливень,true
2026-03-27,09,Абрау-Дюрсо,пятница,10,пасмурно,false
2026-03-27,09,Новороссийск,пятница,13,ливень,true
2026-03-27,09,Мысхако,пятница,13,ливень,true
2026-03-27,09,Южная Озереевка,пятница,10,облачно,false
2026-03-27,09,Широкая Балка,пятница,10,облачно,false
2026-03-27,09,Федотовка,пятница,10,облачно,false
